accession,length,kingdom,accurate_prediction,time_ms,miss_type,hit_type
NM_000579,65,Eukaryota,False,144.10,FalseNeg,None
M12294,96,Viruses,False,393.90,FalseNeg,None
AB085612,56,Viruses,False,68.79,FalseNeg,None
K01803,62,Viruses,True,91.25,None,TruePos
AY700211,56,Viruses,True,81.38,None,TruePos
AF033811,61,Viruses,True,93.56,None,TruePos
AF315122,70,Viruses,True,206.22,None,TruePos
NC_004364,63,Viruses,True,106.30,None,TruePos
M28621,70,Eukaryota,True,119.04,None,TruePos
NC_009536,70,Viruses,True,156.36,None,TruePos
AB040749,60,Viruses,False,93.97,FalseNeg,None
BK006888,68,Unknown Kingdom,True,155.58,None,TruePos
U16304,66,Viruses,True,131.50,None,TruePos
AF046869,72,Viruses,True,193.82,None,TruePos
NC_003844,60,Viruses,True,105.78,None,TruePos
2451791315,377,Eukaryota,True,181643.51,None,TrueNeg
K01778,116,Viruses,True,1078.20,None,TruePos
J00219,120,Eukaryota,True,1340.63,None,TruePos
M28818,134,Viruses,True,1926.37,None,TruePos
Z46351,105,Viruses,False,692.75,FalseNeg,None
V01197,128,Viruses,True,1393.23,None,TruePos
M21464,133,Viruses,False,1593.44,FalseNeg,None
K03542,113,Viruses,False,767.84,FalseNeg,None
AF221907,121,Eukaryota,False,1155.57,FalseNeg,None
