accession,length,kingdom,accurate_prediction,time_ms,miss_type,hit_type
NM_000579,65,Eukaryota,True,459.30,None,TruePos
M12294,96,Viruses,False,495.77,FalseNeg,None
AB085612,56,Viruses,False,510.14,FalseNeg,None
K01803,62,Viruses,True,474.31,None,TruePos
AY700211,56,Viruses,True,447.26,None,TruePos
AF033811,61,Viruses,True,454.54,None,TruePos
AF315122,70,Viruses,True,517.88,None,TruePos
NC_004364,63,Viruses,True,454.44,None,TruePos
M28621,70,Eukaryota,False,464.23,FalseNeg,None
NC_009536,70,Viruses,False,497.36,FalseNeg,None
AB040749,60,Viruses,False,464.09,FalseNeg,None
BK006888,68,Unknown Kingdom,False,488.29,FalseNeg,None
U16304,66,Viruses,False,481.53,FalseNeg,None
AF046869,72,Viruses,True,504.75,None,TruePos
NC_003844,60,Viruses,False,461.27,FalseNeg,None
2451791315,377,Eukaryota,False,420.64,FalsePos,None
K01778,116,Viruses,True,513.44,None,TruePos
J00219,120,Eukaryota,False,515.43,FalseNeg,None
M28818,134,Viruses,True,540.03,None,TruePos
Z46351,105,Viruses,False,512.73,FalseNeg,None
V01197,128,Viruses,True,547.71,None,TruePos
M21464,133,Viruses,True,555.12,None,TruePos
K03542,113,Viruses,True,539.99,None,TruePos
AF221907,121,Eukaryota,True,563.86,None,TruePos
